transaction_id,customer_id,transaction_ts,amount,merchant,merchant_category,country,payment_type,status
TXN5900,CUST034,2024-01-07 15:05:00,12282.44,Uber,TRAVEL,IN,UPI,SUCCESS
TXN5901,CUST005,2024-01-07 12:07:00,14519.17,Amazon,ECOMMERCE,IN,WALLET,SUCCESS
TXN5902,CUST049,2024-01-07 09:38:00,23509.25,Swiggy,FOOD,IN,WALLET,SUCCESS
TXN5903,CUST005,2024-01-07 09:07:00,9637.74,Binance,CRYPTO,IN,WALLET,SUCCESS
TXN5904,CUST040,2024-01-07 02:50:00,5065.54,Swiggy,FOOD,IN,UPI,FAILED
TXN5905,CUST029,2024-01-07 06:56:00,24796.58,Swiggy,FOOD,IN,UPI,SUCCESS
TXN5906,CUST035,2024-01-07 10:36:00,5996.98,Swiggy,FOOD,IN,UPI,SUCCESS
TXN5907,CUST027,2024-01-07 03:07:00,25943.02,Flipkart,ECOMMERCE,IN,CARD,SUCCESS
TXN5908,CUST022,2024-01-07 14:51:00,8405.89,Binance,CRYPTO,IN,UPI,FAILED
TXN5909,CUST039,2024-01-07 02:57:00,1360.6,Swiggy,FOOD,IN,CARD,SUCCESS
TXN5910,CUST018,2024-01-07 02:29:00,14492.87,Bet365,GAMBLING,IN,WALLET,FAILED
TXN5911,CUST045,2024-01-07 17:00:00,17063.2,MakeMyTrip,TRAVEL,IN,WALLET,SUCCESS
TXN5912,CUST050,2024-01-07 15:32:00,2985.01,Flipkart,ECOMMERCE,IN,UPI,FAILED
TXN5913,CUST015,2024-01-07 14:00:00,24796.16,Amazon,ECOMMERCE,IN,UPI,FAILED
TXN5914,CUST027,2024-01-07 06:57:00,16612.77,Netflix,ENTERTAINMENT,IN,WALLET,FAILED
TXN5915,CUST035,2024-01-07 22:36:00,2781.34,MakeMyTrip,TRAVEL,IN,UPI,FAILED
TXN5916,,2024-01-07 22:34:00,28895.86,Swiggy,FOOD,IN,WALLET,SUCCESS
TXN5917,CUST033,2024-01-07 22:37:00,704.11,Swiggy,FOOD,IN,CARD,FAILED
TXN5918,CUST031,2024-01-07 21:29:00,14354.02,Bet365,GAMBLING,IN,CARD,FAILED
TXN5919,CUST048,2024-01-07 04:28:00,16392.49,Bet365,GAMBLING,IN,UPI,SUCCESS
TXN5920,CUST018,2024-01-07 18:10:00,25301.73,Binance,CRYPTO,IN,WALLET,FAILED
TXN5921,CUST042,2024-01-07 02:20:00,21026.01,MakeMyTrip,TRAVEL,IN,UPI,SUCCESS
TXN5922,CUST012,2024-01-07 15:37:00,13521.7,Uber,TRAVEL,IN,UPI,SUCCESS
TXN5923,CUST006,2024-01-07 18:38:00,2504.25,MakeMyTrip,TRAVEL,IN,UPI,FAILED
