transaction_id,customer_id,transaction_ts,amount,merchant,merchant_category,country,payment_type,status
TXN6050,CUST007,2024-01-08 19:46:00,23818.76,Netflix,ENTERTAINMENT,IN,UPI,SUCCESS
TXN6051,CUST008,2024-01-08 17:20:00,15665.8,Uber,TRAVEL,IN,UPI,SUCCESS
TXN6052,CUST015,2024-01-08 19:08:00,12361.0,Netflix,ENTERTAINMENT,IN,UPI,FAILED
TXN6053,CUST028,2024-01-08 23:13:00,14577.2,Flipkart,ECOMMERCE,IN,CARD,SUCCESS
TXN6054,CUST034,2024-01-08 17:57:00,22303.68,Bet365,GAMBLING,IN,CARD,FAILED
TXN6055,CUST031,2024-01-08 20:11:00,18095.71,Flipkart,ECOMMERCE,IN,WALLET,SUCCESS
TXN6056,CUST014,2024-01-08 21:43:00,14254.51,Netflix,ENTERTAINMENT,IN,WALLET,FAILED
TXN6057,CUST036,2024-01-08 05:53:00,7619.72,Uber,TRAVEL,IN,WALLET,FAILED
TXN6058,CUST003,2024-01-08 02:28:00,16282.45,Swiggy,FOOD,IN,WALLET,FAILED
TXN6059,CUST041,2024-01-08 03:52:00,28311.14,Binance,CRYPTO,IN,WALLET,FAILED
TXN6060,CUST016,2024-01-08 01:04:00,28246.27,MakeMyTrip,TRAVEL,IN,WALLET,FAILED
TXN6061,CUST009,2024-01-08 07:29:00,7006.89,Flipkart,ECOMMERCE,IN,UPI,SUCCESS
TXN6062,CUST010,2024-01-08 09:54:00,8039.33,Amazon,ECOMMERCE,IN,UPI,FAILED
TXN6063,CUST007,2024-01-08 02:13:00,18105.02,Flipkart,ECOMMERCE,IN,WALLET,FAILED
TXN6064,CUST017,2024-01-08 06:20:00,16385.98,Netflix,ENTERTAINMENT,IN,UPI,SUCCESS
TXN6065,CUST017,2024-01-08 13:46:00,7957.35,Amazon,ECOMMERCE,IN,CARD,SUCCESS
TXN6066,CUST048,2024-01-08 23:49:00,4761.45,Netflix,ENTERTAINMENT,IN,UPI,FAILED
