transaction_id,customer_id,transaction_ts,amount,merchant,merchant_category,country,payment_type,status
TXN6350,CUST049,2024-01-10 23:07:00,5976.55,Uber,TRAVEL,IN,WALLET,FAILED
TXN6351,CUST034,2024-01-10 18:05:00,16287.23,Netflix,ENTERTAINMENT,IN,WALLET,SUCCESS
TXN6352,CUST042,2024-01-10 15:35:00,22723.75,Uber,TRAVEL,IN,CARD,SUCCESS
TXN6353,CUST013,2024-01-10 19:31:00,22707.06,MakeMyTrip,TRAVEL,IN,WALLET,FAILED
TXN6354,CUST039,2024-01-10 05:37:00,606.1,Bet365,GAMBLING,IN,UPI,SUCCESS
TXN6355,CUST044,2024-01-10 18:19:00,15284.96,Flipkart,ECOMMERCE,IN,CARD,FAILED
TXN6356,CUST006,2024-01-10 17:31:00,3758.01,Flipkart,ECOMMERCE,IN,WALLET,SUCCESS
TXN6357,CUST039,2024-01-10 17:54:00,17081.4,Uber,TRAVEL,IN,WALLET,FAILED
TXN6358,CUST006,2024-01-10 18:13:00,11289.34,Flipkart,ECOMMERCE,IN,UPI,SUCCESS
TXN6359,CUST035,2024-01-10 04:21:00,23794.17,Bet365,GAMBLING,IN,WALLET,FAILED
TXN6360,CUST033,2024-01-10 12:10:00,26194.54,MakeMyTrip,TRAVEL,IN,WALLET,SUCCESS
TXN6361,CUST030,2024-01-10 16:12:00,5425.57,Amazon,ECOMMERCE,IN,CARD,SUCCESS
TXN6362,CUST015,2024-01-10 11:53:00,5661.3,Bet365,GAMBLING,IN,CARD,FAILED
TXN6363,CUST032,2024-01-10 20:43:00,19875.28,Amazon,ECOMMERCE,IN,CARD,FAILED
TXN6364,CUST016,2024-01-10 20:19:00,-677.08,Amazon,ECOMMERCE,IN,WALLET,FAILED
TXN6365,CUST005,2024-01-10 10:06:00,28969.12,Bet365,GAMBLING,IN,UPI,SUCCESS
TXN6366,CUST031,2024-01-10 22:32:00,22951.75,Bet365,GAMBLING,IN,WALLET,FAILED
TXN6367,CUST050,2024-01-10 01:57:00,24095.4,MakeMyTrip,TRAVEL,IN,CARD,SUCCESS
TXN6368,,2024-01-10 17:58:00,1694.88,Netflix,ENTERTAINMENT,IN,CARD,FAILED
TXN6369,CUST012,2024-01-10 03:51:00,928.89,Netflix,ENTERTAINMENT,IN,UPI,FAILED
TXN6370,CUST041,2024-01-10 09:16:00,23560.21,Swiggy,FOOD,IN,WALLET,SUCCESS
TXN6371,CUST005,2024-01-10 16:38:00,16282.05,Netflix,ENTERTAINMENT,IN,WALLET,FAILED
TXN6372,CUST027,2024-01-10 04:25:00,10818.44,Uber,TRAVEL,IN,UPI,FAILED
TXN6373,CUST034,2024-01-10 16:34:00,14993.33,Bet365,GAMBLING,IN,CARD,SUCCESS
TXN6374,CUST002,2024-01-10 03:13:00,6121.54,Binance,CRYPTO,IN,WALLET,SUCCESS
TXN6375,CUST043,2024-01-10 09:25:00,20269.54,Uber,TRAVEL,IN,CARD,SUCCESS
TXN6376,CUST047,2024-01-10 04:41:00,27634.05,Bet365,GAMBLING,IN,UPI,SUCCESS
TXN6377,CUST027,2024-01-10 05:25:00,26170.13,Binance,CRYPTO,IN,WALLET,SUCCESS
TXN6378,CUST029,2024-01-10 21:54:00,5006.36,Bet365,GAMBLING,IN,WALLET,FAILED
TXN6379,CUST035,2024-01-10 14:13:00,16330.44,MakeMyTrip,TRAVEL,IN,CARD,FAILED
TXN6380,CUST031,2024-01-10 23:04:00,24925.82,Binance,CRYPTO,IN,CARD,FAILED
TXN6381,CUST031,2024-01-10 10:43:00,20339.74,Netflix,ENTERTAINMENT,IN,WALLET,SUCCESS
TXN6382,CUST014,2024-01-10 06:27:00,7918.66,MakeMyTrip,TRAVEL,IN,WALLET,FAILED
TXN6383,CUST020,2024-01-10 08:44:00,24852.75,MakeMyTrip,TRAVEL,IN,WALLET,FAILED
TXN6384,CUST026,2024-01-10 19:47:00,18939.86,Netflix,ENTERTAINMENT,IN,CARD,FAILED
TXN6385,CUST014,2024-01-10 16:52:00,9706.29,MakeMyTrip,TRAVEL,IN,WALLET,SUCCESS
TXN6386,,2024-01-10 05:15:00,3705.68,Binance,CRYPTO,IN,CARD,FAILED
TXN6387,CUST002,2024-01-10 20:27:00,8336.13,Swiggy,FOOD,IN,CARD,SUCCESS
TXN6388,CUST036,2024-01-10 04:13:00,25762.32,Netflix,ENTERTAINMENT,IN,WALLET,FAILED
TXN6389,CUST026,2024-01-10 03:44:00,11743.62,MakeMyTrip,TRAVEL,IN,UPI,SUCCESS
TXN6390,CUST006,2024-01-10 04:03:00,9686.47,Netflix,ENTERTAINMENT,IN,CARD,FAILED
TXN6391,CUST015,2024-01-10 19:10:00,594.45,Swiggy,FOOD,IN,WALLET,SUCCESS
TXN6392,CUST009,2024-01-10 12:15:00,25373.54,Amazon,ECOMMERCE,IN,WALLET,FAILED
TXN6393,CUST001,2024-01-10 16:45:00,13872.63,Netflix,ENTERTAINMENT,IN,UPI,FAILED
TXN6394,CUST003,2024-01-10 23:52:00,23403.79,Uber,TRAVEL,IN,WALLET,FAILED
TXN6395,CUST015,2024-01-10 08:33:00,1112.18,Netflix,ENTERTAINMENT,IN,CARD,SUCCESS
TXN6396,CUST022,2024-01-10 00:29:00,5770.78,Netflix,ENTERTAINMENT,IN,CARD,SUCCESS
TXN6397,CUST026,2024-01-10 12:09:00,28631.15,Netflix,ENTERTAINMENT,IN,WALLET,FAILED
TXN6398,CUST019,2024-01-10 05:12:00,15839.98,Binance,CRYPTO,IN,CARD,FAILED
TXN6399,CUST039,2024-01-10 10:22:00,24337.13,Bet365,GAMBLING,IN,WALLET,SUCCESS
TXN6400,CUST013,2024-01-10 04:42:00,29216.43,MakeMyTrip,TRAVEL,IN,UPI,SUCCESS
TXN6401,CUST033,2024-01-10 19:21:00,29943.54,Uber,TRAVEL,IN,UPI,SUCCESS
TXN6402,CUST012,2024-01-10 20:22:00,22318.79,Uber,TRAVEL,IN,UPI,FAILED
TXN6403,CUST007,2024-01-10 17:07:00,15313.54,MakeMyTrip,TRAVEL,IN,WALLET,FAILED
TXN6404,CUST047,2024-01-10 20:40:00,26597.73,Binance,CRYPTO,IN,UPI,FAILED
TXN6405,,2024-01-10 03:57:00,26720.47,Swiggy,FOOD,IN,UPI,SUCCESS
TXN6406,CUST026,2024-01-10 11:32:00,27767.55,Netflix,ENTERTAINMENT,IN,UPI,SUCCESS
TXN6407,CUST009,2024-01-10 19:10:00,13149.49,MakeMyTrip,TRAVEL,IN,WALLET,SUCCESS
TXN6408,CUST033,2024-01-10 15:27:00,4838.6,Bet365,GAMBLING,IN,WALLET,SUCCESS
TXN6409,CUST003,2024-01-10 00:46:00,28531.9,Uber,TRAVEL,IN,UPI,SUCCESS
TXN6410,CUST041,2024-01-10 20:46:00,9081.2,Swiggy,FOOD,IN,WALLET,SUCCESS
TXN6411,CUST027,2024-01-10 08:17:00,26280.46,Bet365,GAMBLING,IN,UPI,SUCCESS
TXN6412,,2024-01-10 23:20:00,718.77,Binance,CRYPTO,IN,UPI,SUCCESS
TXN6413,CUST049,2024-01-10 02:20:00,29691.23,MakeMyTrip,TRAVEL,IN,UPI,SUCCESS
TXN6414,CUST003,2024-01-10 00:35:00,22627.77,Netflix,ENTERTAINMENT,IN,WALLET,SUCCESS
TXN6415,CUST004,2024-01-10 01:00:00,28486.7,Netflix,ENTERTAINMENT,IN,UPI,SUCCESS
TXN6416,,2024-01-10 02:49:00,1776.41,Swiggy,FOOD,IN,CARD,FAILED
TXN6417,CUST039,2024-01-10 05:35:00,23709.74,Uber,TRAVEL,IN,WALLET,FAILED
TXN6418,,2024-01-10 20:32:00,6481.68,Bet365,GAMBLING,IN,UPI,SUCCESS
TXN6419,CUST033,2024-01-10 04:41:00,7844.1,Flipkart,ECOMMERCE,IN,WALLET,SUCCESS
TXN6420,CUST042,2024-01-10 04:55:00,20119.9,MakeMyTrip,TRAVEL,IN,UPI,SUCCESS
TXN6421,CUST023,2024-01-10 01:52:00,23269.92,Swiggy,FOOD,IN,CARD,SUCCESS
TXN6422,CUST001,2024-01-10 13:01:00,22697.73,Bet365,GAMBLING,IN,CARD,SUCCESS
TXN6423,CUST014,2024-01-10 04:31:00,18207.35,Amazon,ECOMMERCE,IN,UPI,SUCCESS
TXN6424,CUST047,2024-01-10 06:04:00,13585.34,Netflix,ENTERTAINMENT,IN,CARD,FAILED
TXN6425,CUST014,2024-01-10 10:44:00,5391.54,Uber,TRAVEL,IN,WALLET,FAILED
TXN6426,CUST047,2024-01-10 10:32:00,5244.41,Netflix,ENTERTAINMENT,IN,CARD,SUCCESS
TXN6427,,2024-01-10 17:24:00,11215.38,Binance,CRYPTO,IN,UPI,SUCCESS
TXN6428,CUST020,2024-01-10 23:35:00,16876.83,Swiggy,FOOD,IN,CARD,SUCCESS
TXN6429,CUST025,2024-01-10 11:17:00,24326.12,Bet365,GAMBLING,IN,WALLET,SUCCESS
TXN6430,CUST047,2024-01-10 00:15:00,25768.32,Flipkart,ECOMMERCE,IN,WALLET,FAILED
